MAJ ETE 2016
MAJ HIVER 2016/2017

S ; BOD ; AJA ; 01h30 ; ; 320
S ; AJA ; BOD ; 01h30 ; ; 320
S ; BOD ; NCE ; 01h15 ; ; 320
S ; NCE ; BOD ; 01h20 ; ; 320
S ; FSC ; NTE ; 01h55 ; ; 320
S ; NTE ; FSC ; 01h50 ; ; 320
S ; LIL ; TLS ; 01h30 ; ; 320
S ; TLS ; LIL ; 01h35 ; ; 320
S ; MPL ; NTE ; 01h15 ; ; 320
S ; NTE ; MPL ; 01h10 ; ; 320

W ; AJA ; ORY ; 01h40 ; ; 320
W ; ORY ; AJA ; 01h40 ; ; 320
W ; ALG ; CDG ; 02h20 ; ; 320
W ; CDG ; ALG ; 02h15 ; ; 320
W ; AMS ; CDG ; 01h15 ; ; 320
W ; CDG ; AMS ; 01h15 ; ; 320
W ; ARN ; CDG ; 02h40 ; ; 320
W ; CDG ; ARN ; 02h35 ; ; 320
W ; ATH ; CDG ; 03h30 ; ; 320
W ; CDG ; ATH ; 03h20 ; ; 320
W ; BCN ; CDG ; 02h00 ; ; 320
W ; CDG ; BCN ; 01h45 ; ; 320
W ; BIA ; ORY ; 01h35 ; ; 320
W ; ORY ; BIA ; 01h35 ; ; 320
W ; BIQ ; ORY ; 01h20 ; ; 320
W ; ORY ; BIQ ; 01h20 ; ; 320
W ; BOD ; CDG ; 01h25 ; ; 320
W ; CDG ; BOD ; 01h20 ; ; 320
W ; BOD ; ORY ; 01h10 ; ; 320
W ; ORY ; BOD ; 01h05 ; ; 320
W ; BUD ; CDG ; 02h20 ; ; 320
W ; CDG ; BUD ; 02h10 ; ; 320
W ; CDG ; BHX ; 01h25 ; ; 320
W ; BHX ; CDG ; 01h20 ; ; 320
W ; CDG ; CMN ; 03h05 ; ; 320
W ; CMN ; CDG ; 03h05 ; ; 320
W ; CDG ; CPH ; 01h55 ; ; 320
W ; CPH ; CDG ; 02h00 ; ; 320
W ; CDG ; EVN ; 04h35 ; ; 320
W ; EVN ; CDG ; 05h20 ; ; 320
W ; CDG ; FCO ; 02h05 ; ; 320
W ; FCO ; CDG ; 02h10 ; ; 320
W ; CDG ; GVA ; 01h10 ; ; 320
W ; GVA ; CDG ; 01h10 ; ; 320
W ; CDG ; HAM ; 01h35 ; ; 320
W ; HAM ; CDG ; 01h35 ; ; 320
W ; CDG ; IST ; 03h20 ; ; 320
W ; IST ; CDG ; 03h45 ; ; 320
W ; CDG ; KBP ; 03h05 ; ; 320
W ; KBP ; CDG ; 03h20 ; ; 320
W ; CDG ; LED ; 03h20 ; ; 320
W ; LED ; CDG ; 03h30 ; ; 320
W ; CDG ; LIN ; 01h30 ; ; 320
W ; LIN ; CDG ; 01h30 ; ; 320
W ; CDG ; LIS ; 02h35 ; ; 320
W ; LIS ; CDG ; 02h30 ; ; 320
W ; CDG ; LYS ; 01h10 ; ; 320
W ; LYS ; CDG ; 01h10 ; ; 320
W ; CDG ; MAD ; 02h05 ; ; 320
W ; MAD ; CDG ; 02h10 ; ; 320
W ; CDG ; MAN ; 01h30 ; ; 320
W ; MAN ; CDG ; 01h30 ; ; 320
W ; CDG ; MPL ; 01h25 ; ; 320
W ; MPL ; CDG ; 01h30 ; ; 320
W ; CDG ; MRS ; 01h25 ; ; 320
W ; MRS ; CDG ; 01h30 ; ; 320
W ; CDG ; MUC ; 01h35 ; ; 320
W ; MUC ; CDG ; 01h45 ; ; 320
W ; CDG ; NAP ; 02h10 ; ; 320
W ; NAP ; CDG ; 02h20 ; ; 320
W ; CDG ; NCE ; 01h35 ; ; 320
W ; NCE ; CDG ; 01h35 ; ; 320
W ; CDG ; NTE ; 01h05 ; ; 320
W ; NTE ; CDG ; 01h05 ; ; 320
W ; CDG ; OTP ; 02h55 ; ; 320
W ; OTP ; CDG ; 03h10 ; ; 320
W ; CDG ; PRG ; 01h45 ; ; 320
W ; PRG ; CDG ; 01h45 ; ; 320
W ; CDG ; RBA ; 02h55 ; ; 320
W ; RBA ; CDG ; 02h55 ; ; 320
W ; CDG ; SVO ; 03h40 ; ; 320
W ; SVO ; CDG ; 04h05 ; ; 320
W ; CDG ; TLS ; 01h25 ; ; 320
W ; TLS ; CDG ; 01h35 ; ; 320
W ; CDG ; TLV ; 04h30 ; ; 320
W ; TLV ; CDG ; 05h05 ; ; 320
W ; CDG ; TUN ; 02h30 ; ; 320
W ; TUN ; CDG ; 02h35 ; ; 320
W ; CDG ; TXL ; 01h45 ; ; 320
W ; TXL ; CDG ; 01h45 ; ; 320
W ; CDG ; VCE ; 01h45 ; ; 320
W ; VCE ; CDG ; 01h50 ; ; 320
W ; CDG ; VIE ; 02h00 ; ; 320
W ; VIE ; CDG ; 02h05 ; ; 320
W ; CDG ; WAW ; 02h15 ; ; 320
W ; WAW ; CDG ; 02h25 ; ; 320
W ; CLY ; ORY ; 01h30 ; ; 320
W ; ORY ; CLY ; 01h35 ; ; 320
W ; LYS ; NCE ; 00h55 ; ; 320
W ; NCE ; LYS ; 00h55 ; ; 320
W ; LYS ; TLS ; 01h05 ; ; 320
W ; TLS ; LYS ; 01h00 ; ; 320
W ; MPL ; ORY ; 01h30 ; ; 320
W ; ORY ; MPL ; 01h15 ; ; 320
W ; MRS ; ORY ; 01h20 ; ; 320
W ; ORY ; MRS ; 01h15 ; ; 320
W ; NCE ; LIL ; 01h35 ; ; 320
W ; LIL ; NCE ; 01h35 ; ; 320
W ; NCE ; ORY ; 01h25 ; ; 320
W ; ORY ; NCE ; 01h25 ; ; 320
W ; ORY ; PUF ; 01h20 ; ; 320
W ; PUF ; ORY ; 01h20 ; ; 320
W ; ORY ; TLN ; 01h25 ; ; 320
W ; TLN ; ORY ; 01h30 ; ; 320
W ; ORY ; TLS ; 01h15 ; ; 320
W ; TLS ; ORY ; 01h20 ; ; 320
W ; CDG ; AMM ; 04h40 ; ; 320
W ; AMM ; CDG ; 05h20 ; ; 320
