// Ce fichier doit être enregistré avec l'encodage "UTF-8" pour conserver les accents
// Le nom des villes est celui qui apparait dans les exports HTML et PDF
// Pays ; TimeZone ; E=Zone Euro, M=Zone MC hors Euro, L=Zone LC (pour calcul frais réels) ; Bigramme


DFW ; Dallas ; Etats-Unis ; America/Chicago ; L ; US
DTW ; Détroit ; Etats-Unis ; America/Detroit ; L ; US
EWR ; New-York ; Etats-Unis ; America/New_York ; L ; US
IAD ; Washington ; Etats-Unis ; America/New_York ; L ; US
IAH ; Houston ; Etats-Unis ; America/Chicago ; L ; US
JFK ; New-York ; Etats-Unis ; America/New_York ; L ; US
LAX ; Los Angeles ; Etats-Unis ; America/Los_Angeles ; L ; US
MCO ; Orlando ; Etats-Unis ; America/New_York ; L ; US
MIA ; Miami ; Etats-Unis ; America/New_York ; L ; US
MSP ; Minneapolis ; Etats-Unis ; America/Chicago ; L ; US
ORD ; Chicago ; Etats-Unis ; America/Chicago ; L ; US
PHL ; Philadelphie ; Etats-Unis ; America/New_York ; L ; US
SEA ; Seattle ; Etats-Unis ; America/Los_Angeles ; L ; US
SFO ; San Francisco ; Etats-Unis ; America/Los_Angeles ; L ; US

YUL ; Montréal ; Canada ; America/Montreal ; L ; CA
YVR ; Vancouver ; Canada ; America/Vancouver ; L ; CA
YYZ ; Toronto ; Canada ; America/Toronto ; L ; CA

HAV ; La Havane ; Cuba ; America/Havana ; L ; CU
PAP ; Port au Prince ; Haïti ; America/Port-au-Prince ; L ; HT
PUJ ; Punta Cana ; République Dominicaine ; America/Santo_Domingo ; L ; DO
SDQ ; Saint Domingue ; République Dominicaine ; America/Santo_Domingo ; L ; DO

BOG ; Bogota ; Colombie ; America/Bogota ; L ; CO
BSB ; Brasilia ; Brésil ; Brazil/East ; L ; BR
CCS ; Caracas ; Vénézuela ; America/Caracas ; L ; VE
CUN ; Cancun ; Mexique ; America/Cancun ; L ; MX
EZE ; Buenos Aires ; Argentine ; America/Buenos_Aires ; L ; AR
GDL ; Guadalajara ; Mexique ; America/Mexico_City ; L ; MX
GIG ; Rio de Janeiro ; Brésil ; Brazil/East ; L ; BR
GRU ; Sao Paulo ; Brésil ; Brazil/East ; L ; BR
LIM ; Lima ; Pérou ; America/Lima ; L ; PE
MEX ; Mexico ; Mexique ; America/Mexico_City ; L ; MX
MVD ; Montevideo ; Uruguay ; America/Montevideo ; L ; UY
SCL ; Santiago ; Chili ; America/Santiago ; L ; CL
PTY ; Panama City ; Panama ; America/Panama ; L ; PA
SJO ; San José ; Costa Rica ; America/Costa_Rica ; L ; CR

ABJ ; Abidjan ; Côte d'Ivoire ; Africa/Abidjan ; L ; CI
ACC ; Accra ; Ghana ; Africa/accra ; L ; GH
ALG ; Alger ; Algérie ; Africa/Algiers ; M ; DZ
BGF ; Bangui ; République Centrafricaine ; Africa/Bangui ; L ; CF
BKO ; Bamako ; Mali ; Africa/Bamako ; L ; ML
BSG ; Bata ; Guinée Equatoriale ; Africa/Malabo ; L ; GQ
BZV ; Brazzaville ; Congo ; Africa/Brazzaville ; L ; CG
CAI ; Le Caire ; Egypte ; Africa/Cairo ; L ; EG
CKY ; Conakry ; Guinée ; Africa/Conakry ; L ; GN
CMN ; Casablanca ; Maroc ; Africa/Casablanca ; M ; MA
COO ; Cotonou ; Bénin ; Africa/Porto-Novo ; L ; BJ
CPT ; Cape Town ; Afrique du Sud ; Africa/Johannesburg ; L ; ZA
DKR ; Dakar ; Sénégal ; Africa/Dakar ; L ; SN
DLA ; Douala ; Cameroun ; Africa/Douala ; L ; CM
FIH ; Kinshasa ; République démocratique du Congo ; Africa/Kinshasa ; L ; CD
FNA ; Freetown ; Sierra Leone ; Africa/Freetown ; L ; SL
JIB ; Djibouti ; Djibouti ; Africa/Djibouti ; L ; DJ
JNB ; Johannesbourg ; Afrique du Sud ; Africa/Johannesburg ; L ; ZA
LAD ; Luanda ; Angola ; Africa/Luanda ; L ; AO
LBV ; Libreville ; Gabon ; Africa/Libreville ; L ; GA
LFW ; Lomé ; Togo ; Africa/Lome ; L ; TG
LOS ; Lagos ; Nigeria ; Africa/Lagos ; L ; NG
NBO ; Nairobi ; Kenya ; Africa/Nairobi ; L ; KE
NDJ ; N'Djamena ; Tchad ; Africa/Ndjamena ; L ; TD
NIM ; Niamey ; Niger ; Africa/Niamey ; L ; NE
NKC ; Nouakchott ; Mauritanie ; Africa/Nouakchott ; L ; MR
NSI ; Yaoundé ; Cameroun ; Africa/Douala ; L ; CM
OUA ; Ouagadougou ; Burkina Faso ; Africa/Ouagadougou ; L ; BF
ORN ; Oran ; Algérie ; Africa/Algiers ; M ; DZ
PHC ; Port Harcourt ; Nigeria ; Africa/Lagos ; L ; NG
PNR ; Pointe Noire ; Congo ; Africa/Brazzaville ; L ; CG
POG ; Port-Gentil ; Gabon ; Africa/Libreville ; L ; GA
RAK ; Marrakech ; Maroc ; Africa/Casablanca ; M ; MA
RBA ; Rabat ; Maroc ; Africa/Casablanca ; M ; MA
ROB ; Monrovia ; Libéria ; Africa/Monrovia ; L ; LR
SSG ; Malabo ; Guinée Equatoriale ; Africa/Malabo ; L ; GQ
TIP ; Tripoli ; Libye ; Africa/Tripoli ; L ; LY
TNR ; Antananarivo ; Madagascar ; Indian/Antananarivo ; L ; MG
TUN ; Tunis ; Tunisie ; Africa/Tunis ; M ; TN
YAO ; Yaoundé ; Cameroun ; Africa/Douala ; L ; CM

PTP ; Pointe-à-Pitre ; France ; America/Guadeloupe ; E ; FR
SXM ; Saint-Martin ; France ; America/Marigot ; E ; FR
CAY ; Cayenne ; France ; America/Cayenne ; E ; FR
FDF ; Fort de France ; France ; America/Martinique ; E ; FR
PPT ; Papeete ; France ; Pacific/Tahiti ; L ; FR
RUN ; La Réunion ; France ; Indian/Reunion ; E ; FR
MRU ; Ile Maurice ; Maurice ; Indian/Mauritius ; L ; MU
MLE ; Malé ; Maldives ; Indian/Maldives ; L ; MV

