MAJ ETE 2016
MAJ HIVER 2016/2017

S ; CDG ; JNB ; 10h35 ; AF 990 ; 380
S ; JNB ; CDG ; 10h40 ; AF 995 ; 380
S ; CDG ; SFO ; 11h20 ; AF 084 ; 380
S ; SFO ; CDG ; 10h40 ; AF 083 ; 380
S ; CDG ; PVG ; 11h05 ; AF 116 ; 380
S ; PVG ; CDG ; 12h10 ; AF 111 ; 380
S ; CDG ; IAD ; 08h20 ; AF 054 ; 380
S ; IAD ; CDG ; 07h30 ; AF 055 ; 380
S ; CDG ; HKG ; 11h40 ; AF 188 ; 380
S ; HKG ; CDG ; 12h55 ; AF 185 ; 380
S ; CDG ; ABJ ; 06h15 ; AF 702 ; 380
S ; ABJ ; CDG ; 06h20 ; AF 703 ; 380
S ; CDG ; MEX ; 11h50 ; AF 178 ; 380
S ; MEX ; CDG ; 10h45 ; AF 183 ; 380

W ; CDG ; LAX ; 11h40 ; ; 380
W ; LAX ; CDG ; 10h45 ; ; 380
W ; CDG ; JFK ; 08h25 ; AF 006 ; 380
W ; JFK ; CDG ; 07h10 ; AF 007 ; 380
W ; CDG ; JNB ; 10h45 ; AF 990 ; 380
W ; JNB ; CDG ; 10h45 ; AF 995 ; 380
W ; CDG ; PVG ; 11h05 ; AF 116 ; 380
W ; PVG ; CDG ; 12h45 ; AF 111 ; 380
W ; CDG ; HKG ; 11h45 ; AF 188 ; 380
W ; HKG ; CDG ; 13h15 ; AF 185 ; 380
W ; CDG ; ABJ ; 06h20 ; AF 702 ; 380
W ; ABJ ; CDG ; 06h25 ; AF 703 ; 380
W ; CDG ; MIA ; 10h05 ; AF 090 ; 380
W ; MIA ; CDG ; 08h30 ; AF 099 ; 380
W ; CDG ; MEX ; 12h15 ; AF 178 ; 380
W ; MEX ; CDG ; 10h15 ; AF 179 ; 380

S ; CDG ; JFK ; 08h10 ; AF 022 ; 340
S ; JFK ; CDG ; 07h25 ; AF 023 ; 340
S ; CDG ; ORD ; 09h05 ; ; 340
S ; ORD ; CDG ; 08h15 ; ; 340
S ; CDG ; DTW ; 08h45 ; ; 340
S ; DTW ; CDG ; 07h45 ; ; 340
S ; CDG ; MSP ; 09h10 ; ; 340
S ; MSP ; CDG ; 08h25 ; ; 340
S ; CDG ; BOS ; 07h50 ; ; 340
S ; BOS ; CDG ; 06h50 ; ; 340
S ; CDG ; CCS ; 09h55 ; ; 340
S ; CCS ; CDG ; 09h15 ; ; 340
S ; CDG ; BOG ; 11h00 ; ; 340
S ; BOG ; CDG ; 10h45 ; ; 340
S ; CDG ; GIG ; 11h35 ; ; 340
S ; GIG ; CDG ; 11h15 ; ; 340
S ; CDG ; BOM ; 09h05 ; ; 340
S ; BOM ; CDG ; 09h25 ; ; 340
S ; CDG ; DEL ; 08h20 ; ; 340
S ; DEL ; CDG ; 09h05 ; ; 340
S ; CDG ; BLR ; 09h40 ; ; 340
S ; BLR ; CDG ; 10h15 ; ; 340
S ; CDG ; IKA ; 05h30 ; ; 340
S ; IKA ; CDG ; 05h55 ; ; 340
S ; CDG ; BEY ; 04h15 ; ; 340
S ; BEY ; CDG ; 04h40 ; ; 340
S ; CDG ; CAI ; 04h30 ; ; 340
S ; CAI ; CDG ; 04h50 ; ; 340
S ; CDG ; JIB ; 07h15 ; ; 340
S ; JIB ; CDG ; 07h30 ; ; 340
S ; CDG ; LFW ; 06h20 ; ; 340
S ; LFW ; CDG ; 06h10 ; ; 340
S ; CDG ; LOS ; 06h20 ; ; 340
S ; LOS ; CDG ; 06h15 ; ; 340
S ; CDG ; BKO ; 05h40 ; ; 340
S ; BKO ; ABJ ; 01h40 ; AF 914 ; 340
S ; ABJ ; CDG ; 06h25 ; ; 340
S ; CDG ; OUA ; 05h35 ; ; 340
S ; OUA ; ABJ ; 01h30 ; AF 524 ; 340
S ; BKO ; CDG ; 05h30 ; ; 340
S ; CDG ; FIH ; 07h50 ; AF 888 ; 340
S ; FIH ; CDG ; 07h50 ; ; 340
S ; CDG ; FIH ; 07h50 ; AF 886 ; 340
S ; CDG ; BZV ; 07h50 ; ; 340
S ; BZV ; CDG ; 07h50 ; ; 340
S ; CDG ; PNR ; 07h40 ; ; 340
S ; PNR ; CDG ; 07h50 ; ; 340
S ; CDG ; FNA ; 06h25 ; AF 770 ; 340
S ; FNA ; CKY ; 00h40 ; ; 340
S ; CKY ; CDG ; 06h00 ; ; 340
S ; CDG ; NKC ; 05h20 ; ; 340
S ; NKC ; CDG ; 05h00 ; ; 340
S ; NKC ; CKY ; 01h40 ; ; 340
S ; CKY ; NKC ; 01h45 ; ; 340
S ; CDG ; NIM ; 05h25 ; ; 340
S ; NIM ; CDG ; 05h20 ; ; 340
S ; NIM ; LFW ; 01h25 ; AF 306 ; 340
S ; LFW ; NIM ; 01h30 ; AF 339 ; 340
S ; CDG ; ABV ; 06h00 ; ; 340
S ; ABV ; PHC ; 01h05 ; ; 340
S ; PHC ; ABV ; 01h10 ; ; 340
S ; ABV ; CDG ; 06h00 ; ; 340
S ; CDG ; NDJ ; 05h40 ; AF 558 ; 340
S ; NDJ ; CDG ; 05h40 ; AF 559 ; 340
S ; CDG ; SXM ; 08h50 ; ; 340
S ; SXM ; CDG ; 08h15 ; ; 340
S ; CDG ; RUH ; 06h15 ; ; 340
S ; RUH ; CDG ; 06h40 ; ; 340
S ; BKO ; ABJ ; 01h40 ; AF 914 ; 340
S ; OUA ; ABJ ; 01h30 ; AF 524 ; 340
S ; CDG ; FNA ; 06h25 ; AF 770 ; 340
S ; NIM ; LFW ; 01h25 ; AF 306 ; 340
S ; LFW ; NIM ; 01h30 ; AF 339 ; 340

W ; CDG ; JFK ; 08h30 ; AF 022 ; 340
W ; JFK ; CDG ; 07h15 ; AF 023 ; 340
W ; CDG ; DTW ; 09h05 ; ; 340
W ; DTW ; CDG ; 07h50 ; ; 340
W ; CDG ; IAH ; 11h05 ; ; 340
W ; IAH ; CDG ; 09h25 ; ; 340
W ; CDG ; BOG ; 11h20 ; ; 340
W ; BOG ; CDG ; 10h45 ; ; 340
W ; CDG ; CCS ; 10h10 ; ; 340
W ; CCS ; CDG ; 09h10 ; ; 340
W ; CDG ; WUH ; 11h00 ; AF 132 ; 340
W ; WUH ; CDG ; 12h20 ; AF 139 ; 340
W ; CDG ; BKO ; 05h40 ; ; 340
W ; BKO ; CDG ; 05h40 ; ; 340
W ; ABJ ; CDG ; 06h25 ; ; 340
W ; CDG ; BZV ; 07h55 ; ; 340
W ; BZV ; CDG ; 07h50 ; ; 340
W ; CDG ; COO ; 06h25 ; ; 340
W ; COO ; CDG ; 06h20 ; ; 340
W ; CDG ; FIH ; 07h50 ; AF 888 ; 340
W ; CDG ; FIH ; 07h45 ; AF 886 ; 340
W ; FIH ; CDG ; 07h55 ; ; 340
W ; CDG ; LFW ; 06h20 ; ; 340
W ; LFW ; CDG ; 06h20 ; ; 340
W ; CDG ; LOS ; 06h20 ; AF 148 ; 340
W ; LOS ; CDG ; 06h20 ; ; 340
W ; CDG ; NDJ ; 05h35 ; AF 558 ; 340
W ; NDJ ; CDG ; 05h50 ; ; 340
W ; CDG ; NKC ; 05h20 ; ; 340
W ; NKC ; CKY ; 01h40 ; ; 340
W ; CKY ; NKC ; 01h45 ; ; 340
W ; NKC ; CDG ; 05h05 ; ; 340
W ; CDG ; NIM ; 05h30 ; ; 340
W ; NIM ; CDG ; 05h20 ; ; 340
W ; CDG ; OUA ; 05h35 ; ; 340
W ; CDG ; PNR ; 07h45 ; ; 340
W ; PNR ; CDG ; 07h50 ; ; 340
W ; CDG ; ABV ; 06h00 ; ; 340
W ; ABV ; PHC ; 01h05 ; ; 340
W ; PHC ; ABV ; 01h10 ; ; 340
W ; ABV ; CDG ; 06h05 ; ; 340
W ; CDG ; FNA ; 06h30 ; AF 596 ; 340
W ; FNA ; CKY ; 00h35 ; ; 340
W ; CKY ; CDG ; 06h05 ; ; 340
W ; CDG ; LAD ; 08h30 ; AF 926 ; 340
W ; LAD ; FIH ; 01h10 ; AF 926 ; 340
W ; FIH ; LAD ; 01h20 ; AF 909 ; 340
W ; LAD ; CDG ; 08h20 ; AF 909 ; 340
W ; CDG ; CAI ; 04h25 ; ; 340
W ; CAI ; CDG ; 05h00 ; ; 340
W ; CDG ; RUH ; 06h00 ; ; 340
W ; RUH ; CDG ; 07h05 ; ; 340
W ; CDG ; JIB ; 07h00 ; ; 340
W ; JIB ; CDG ; 07h55 ; ; 340
W ; CDG ; HAV ; 11h00 ; AF4012 ; 340
W ; HAV ; CDG ; 08h55 ; AF4013 ; 340
W ; CDG ; SXM ; 09h10 ; ; 340
W ; SXM ; CDG ; 08h10 ; ; 340
W ; CDG ; TNR ; 10h55 ; ; 340
W ; JFK ; CDG ; 07h15 ; AF 023 ; 340
W ; CDG ; DTW ; 09h05 ; ; 340
W ; DTW ; CDG ; 07h50 ; ; 340
W ; CDG ; IAH ; 11h05 ; ; 340
W ; IAH ; CDG ; 09h25 ; ; 340
W ; CDG ; BOG ; 11h20 ; ; 340
W ; BOG ; CDG ; 10h45 ; ; 340
W ; CDG ; CCS ; 10h10 ; ; 340
W ; CCS ; CDG ; 09h10 ; ; 340
W ; CDG ; WUH ; 11h00 ; AF 132 ; 340
W ; WUH ; CDG ; 12h20 ; AF 139 ; 340
W ; CDG ; BKO ; 05h40 ; ; 340
W ; BKO ; CDG ; 05h40 ; ; 340
